                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.1882,                0.67635,                 1.2045,                0.91008,                0.87315,                0.93713,                 0.5942,                 1.2892,                0.61489,                 1.2345,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.1909,                0.67387,                  1.201,                0.92146,                0.86667,                0.93409,                0.59784,                 1.2694,                0.60328,                 1.2252,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.1662,                0.65955,                 1.1907,                0.91576,                0.87398,                0.93993,                0.60011,                  1.259,                 0.5884,                 1.2213,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.1817,                0.65428,                 1.1931,                 0.8976,                0.88511,                0.93643,                0.59733,                 1.2676,                 0.5961,                 1.2239,               0.000515,               0.000515,               0.000515
                     77,                  1.173,                0.65873,                 1.1922,                0.93042,                0.86523,                0.93959,                0.60191,                 1.2521,                0.58923,                 1.2156,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.1666,                0.65403,                 1.1867,                0.91694,                0.87941,                0.93833,                0.60432,                  1.248,                0.59138,                 1.2154,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.1572,                0.64811,                  1.181,                0.93731,                0.86486,                0.94452,                0.60356,                 1.2588,                0.58363,                 1.2171,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.1562,                0.64437,                 1.1803,                0.91768,                0.87438,                0.93859,                0.59656,                 1.2666,                0.58852,                 1.2185,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.1508,                0.64562,                 1.1819,                  0.917,                0.88824,                0.94026,                0.60459,                 1.2508,                 0.5822,                 1.2161,               0.000416,               0.000416,               0.000416
                     82,                 1.1416,                0.63773,                 1.1767,                 0.9317,                0.87157,                0.94038,                0.60293,                 1.2561,                 0.5845,                 1.2144,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.1343,                0.63117,                  1.166,                0.92718,                0.87647,                0.94005,                0.60423,                 1.2537,                0.58463,                 1.2156,              0.0003764,              0.0003764,              0.0003764
                     84,                  1.133,                 0.6283,                 1.1676,                0.93177,                0.88362,                0.94496,                0.60735,                 1.2449,                0.57393,                 1.2049,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.1339,                0.61904,                 1.1692,                0.91966,                 0.8866,                0.94242,                0.60514,                 1.2518,                  0.585,                 1.2143,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.1229,                 0.6135,                  1.165,                0.91751,                0.88529,                0.94421,                0.60236,                 1.2509,                0.58062,                 1.2127,               0.000317,               0.000317,               0.000317
                     87,                 1.1183,                0.61626,                 1.1599,                 0.9163,                0.89084,                0.94515,                0.61166,                   1.24,                0.56486,                  1.205,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.1293,                0.62059,                 1.1596,                0.91298,                0.90098,                0.94634,                0.60748,                 1.2432,                0.56942,                 1.2068,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.1104,                0.60783,                 1.1587,                0.91612,                    0.9,                0.94586,                0.61342,                 1.2368,                 0.5705,                 1.2018,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.1192,                0.61416,                 1.1619,                0.93198,                0.88654,                0.94667,                0.61153,                 1.2348,                0.56694,                 1.2012,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0945,                0.54685,                 1.1559,                0.92707,                0.89314,                0.94537,                0.61074,                 1.2384,                0.57202,                 1.2059,               0.000218,               0.000218,               0.000218
                     92,                 1.0836,                0.53516,                 1.1489,                0.93144,                0.89608,                0.94652,                0.61436,                 1.2259,                0.56467,                 1.2013,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.0616,                0.52644,                 1.1362,                0.93101,                0.89968,                 0.9479,                0.61637,                  1.222,                0.55831,                 1.1966,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.0585,                0.52435,                 1.1383,                0.91919,                0.90686,                0.94537,                0.61308,                 1.2312,                0.56453,                 1.2033,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0404,                0.51208,                 1.1304,                0.92547,                0.90093,                0.94663,                0.61868,                 1.2189,                0.56006,                  1.196,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.0485,                 0.5182,                 1.1304,                0.92815,                0.90196,                 0.9481,                0.62044,                 1.2166,                0.55736,                  1.196,               0.000119,               0.000119,               0.000119
                     97,                 1.0383,                0.51157,                 1.1273,                0.92919,                0.90057,                0.94783,                0.62183,                 1.2119,                0.55299,                 1.1921,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.0339,                0.51098,                 1.1289,                0.92823,                 0.9003,                0.94727,                0.61983,                 1.2132,                0.55395,                 1.1915,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.0255,                 0.5014,                 1.1142,                0.92374,                0.90294,                0.94699,                0.62197,                 1.2108,                0.55224,                 1.1903,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.0289,                0.50247,                 1.1217,                0.92436,                0.90196,                0.94697,                0.62354,                 1.2105,                0.55126,                  1.189,               3.98e-05,               3.98e-05,               3.98e-05
